date,selection,category,catalog
2026-01-09,"['Prellen ', 'Sprungwurf duell', 'Abwehrverhalten ']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-01-13,"['Sprungwurf hoch/weit', 'Duell um die Welt', '1:1 - 4:4 Gleichzahl mit und ohne Kreisläufer (mit zwei Anspielstationen) ']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-01-16,"['Herausspielen des Balles', 'Rennen zum Ball', 'Vom 2:1 zum 4:3 ']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-01-20,"['Abdrängen des Gegners ', 'Tschechenviereck', '5er Passen']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-01-23,"['Zweierpassen übers ganze Feld', 'Parallelpassen', '2:1 bis 3:2 am Flügel']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-01-27,"['Kernwurf-Variationen mit 1-3 Schritten', 'Einpassen auf Bänkli', 'Ablaufen mit/ohne Ball ']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-01-30,"['Täuschungen Nullkontakt li/re; re/li mit Ball ', 'Abwehrtechnik/Beinarbeit ', 'Viereck passen - drei mal prellen für Punkt']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-02-03,"['Prellen ', 'Sprungwurf duell', 'Ball in Kreis ablegen']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-02-06,"['Sprungwurf hoch/weit', 'Duell um die Welt', 'Gegenstoss 2:1 zum 3:2']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-02-10,"['Herausspielen des Balles', 'Rennen zum Ball', 'Kreis anspielen']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-02-13,"['Abdrängen des Gegners ', 'Tschechenviereck', '1:1 - 4:4 Gleichzahl mit und ohne Kreisläufer (mit zwei Anspielstationen) ']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-02-20,"['Täuschen/Durchbrechen (ohne/mit Ball)', 'Zweierpassen übers ganze Feld', 'Ball auf Kasten abschiessen']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-03-03,"['Kernwurf-Variationen mit 1-3 Schritten', 'Parallelpassen', '5er Passen']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-03-06,"['Abwehrtechnik/Beinarbeit ', 'Einpassen auf Bänkli', '2:1 bis 3:2 am Flügel']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-03-10,"['Passformen (Kernwurfpass, Bodenpass, Gegenstosspass) in der Bewegung', 'Sprungwurf duell', 'Abwehrverhalten ']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-03-13,"['Sprungwurf hoch/weit', 'Prellen ', 'Vom 2:1 zum 4:3 ']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-03-17,"['Duell um die Welt', 'Rennen zum Ball', 'Ball in Kreis ablegen']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-03-20,"['Abdrängen des Gegners ', 'Herausspielen des Balles', 'Gegenstoss 2:1 zum 3:2']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-03-24,"['Täuschungen Nullkontakt li/re; re/li mit Ball ', 'Täuschen/Durchbrechen (ohne/mit Ball)', 'Ablaufen mit/ohne Ball ']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-03-27,"['Parallelpassen', 'Tschechenviereck', 'Kreis anspielen']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-03-31,"['Abwehrtechnik/Beinarbeit ', 'Einpassen auf Bänkli', 'Viereck passen - drei mal prellen für Punkt']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-04-07,"['Kernwurf-Variationen mit 1-3 Schritten', 'Passformen (Kernwurfpass, Bodenpass, Gegenstosspass) in der Bewegung', 'Ball auf Kasten abschiessen']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-04-10,"['Sprungwurf hoch/weit', 'Prellen ', '1:1 - 4:4 Gleichzahl mit und ohne Kreisläufer (mit zwei Anspielstationen) ']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-04-14,"['Zweierpassen übers ganze Feld', 'Duell um die Welt', '5er Passen']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-04-17,"['Abdrängen des Gegners ', 'Sprungwurf duell', '2:1 bis 3:2 am Flügel']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-04-21,"['Täuschen/Durchbrechen (ohne/mit Ball)', 'Herausspielen des Balles', 'Vom 2:1 zum 4:3 ']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-04-24,"['Täuschungen Nullkontakt li/re; re/li mit Ball ', 'Parallelpassen', 'Gegenstoss 2:1 zum 3:2']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
