date,selection,category,catalog
2026-05-12,"['Kernwurf-Variationen mit 1-3 Schritten', 'Sprungwurf hoch/weit', 'Abwehrverhalten ']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-05-19,"['Täuschen/Durchbrechen (ohne/mit Ball)', 'Abwehrtechnik/Beinarbeit ', 'Ablaufen mit/ohne Ball ']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-05-22,"['Abdrängen des Gegners ', 'Zweierpassen übers ganze Feld', 'Vom 2:1 zum 4:3 ']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-05-26,"['Prellen ', 'Parallelpassen', 'Kreis anspielen']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-05-29,"['Tschechenviereck', 'Einpassen auf Bänkli', '2:1 bis 3:2 am Flügel']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-06-02,"['Täuschungen Nullkontakt li/re; re/li mit Ball ', 'Sprungwurf duell', 'Gegenstoss 2:1 zum 3:2']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-06-05,"['Passformen (Kernwurfpass, Bodenpass, Gegenstosspass) in der Bewegung', 'Herausspielen des Balles', 'Ball in Kreis ablegen']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-06-09,"['Sprungwurf hoch/weit', 'Duell um die Welt', '5er Passen']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-06-12,"['Abwehrtechnik/Beinarbeit ', 'Rennen zum Ball', 'Ball auf Kasten abschiessen']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-06-16,"['Kernwurf-Variationen mit 1-3 Schritten', 'Zweierpassen übers ganze Feld', 'Viereck passen - drei mal prellen für Punkt']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-06-19,"['Prellen ', 'Täuschen/Durchbrechen (ohne/mit Ball)', 'Ablaufen mit/ohne Ball ']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-06-23,"['Tschechenviereck', 'Einpassen auf Bänkli', 'Abwehrverhalten ']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-06-26,"['Täuschungen Nullkontakt li/re; re/li mit Ball ', 'Abdrängen des Gegners ', '1:1 - 4:4 Gleichzahl mit und ohne Kreisläufer (mit zwei Anspielstationen) ']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-06-30,"['Passformen (Kernwurfpass, Bodenpass, Gegenstosspass) in der Bewegung', 'Herausspielen des Balles', '2:1 bis 3:2 am Flügel']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-07-03,"['Sprungwurf hoch/weit', 'Sprungwurf duell', 'Gegenstoss 2:1 zum 3:2']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-08-18,"['Duell um die Welt', 'Rennen zum Ball', 'Ball in Kreis ablegen']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-08-21,"['Abwehrtechnik/Beinarbeit ', 'Parallelpassen', 'Vom 2:1 zum 4:3 ']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-08-25,"['Täuschen/Durchbrechen (ohne/mit Ball)', 'Zweierpassen übers ganze Feld', 'Ball auf Kasten abschiessen']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-08-28,"['Kernwurf-Variationen mit 1-3 Schritten', 'Einpassen auf Bänkli', '5er Passen']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-09-01,"['Prellen ', 'Abdrängen des Gegners ', 'Viereck passen - drei mal prellen für Punkt']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-09-04,"['Täuschungen Nullkontakt li/re; re/li mit Ball ', 'Tschechenviereck', 'Ablaufen mit/ohne Ball ']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-09-08,"['Passformen (Kernwurfpass, Bodenpass, Gegenstosspass) in der Bewegung', 'Sprungwurf duell', 'Kreis anspielen']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-09-11,"['Sprungwurf hoch/weit', 'Herausspielen des Balles', '1:1 - 4:4 Gleichzahl mit und ohne Kreisläufer (mit zwei Anspielstationen) ']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-09-15,"['Abwehrtechnik/Beinarbeit ', 'Rennen zum Ball', '2:1 bis 3:2 am Flügel']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-09-18,"['Zweierpassen übers ganze Feld', 'Parallelpassen', 'Ball in Kreis ablegen']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-09-22,"['Duell um die Welt', 'Einpassen auf Bänkli', 'Gegenstoss 2:1 zum 3:2']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-09-25,"['Prellen ', 'Abdrängen des Gegners ', 'Vom 2:1 zum 4:3 ']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-10-13,"['Täuschungen Nullkontakt li/re; re/li mit Ball ', 'Tschechenviereck', 'Ball auf Kasten abschiessen']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-10-16,"['Kernwurf-Variationen mit 1-3 Schritten', 'Passformen (Kernwurfpass, Bodenpass, Gegenstosspass) in der Bewegung', 'Abwehrverhalten ']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-10-20,"['Herausspielen des Balles', 'Sprungwurf duell', 'Viereck passen - drei mal prellen für Punkt']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-10-23,"['Sprungwurf hoch/weit', 'Rennen zum Ball', '5er Passen']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-10-27,"['Täuschen/Durchbrechen (ohne/mit Ball)', 'Abwehrtechnik/Beinarbeit ', '1:1 - 4:4 Gleichzahl mit und ohne Kreisläufer (mit zwei Anspielstationen) ']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-10-30,"['Zweierpassen übers ganze Feld', 'Einpassen auf Bänkli', '2:1 bis 3:2 am Flügel']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-11-03,"['Abdrängen des Gegners ', 'Parallelpassen', 'Ablaufen mit/ohne Ball ']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
2026-11-06,"['Täuschungen Nullkontakt li/re; re/li mit Ball ', 'Prellen ', 'Ball in Kreis ablegen']","['Technik', 'Technik', 'Spielfähigkeit']",U11/Catalogs_U11/Cat001.csv
